new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,227466,01 Store A,Dept 2,2014/05/18,Last Year
01 Luxuries,304520,01 Store A,Dept 2,2014/05/19,Last Year
01 Luxuries,405355,01 Store A,Dept 2,2014/05/20,Last Year
01 Luxuries,738902,01 Store A,Dept 2,2014/05/21,Last Year
01 Luxuries,294487,01 Store A,Dept 2,2014/05/22,Last Year
01 Luxuries,276932,01 Store A,Dept 2,2014/05/23,Last Year
01 Luxuries,1021949,01 Store A,Dept 2,2014/05/24,Last Year
01 Luxuries,434064,01 Store A,Dept 2,2014/05/25,Last Year
01 Luxuries,262887,01 Store A,Dept 2,2014/05/26,Last Year
01 Luxuries,555557,01 Store A,Dept 2,2014/05/27,Last Year
01 Luxuries,291198,01 Store A,Dept 2,2014/05/28,Last Year
01 Luxuries,179804,01 Store A,Dept 2,2014/05/29,Last Year
01 Luxuries,275598,01 Store A,Dept 2,2014/05/30,Last Year
01 Luxuries,648047,01 Store A,Dept 2,2014/05/31,Last Year
01 Luxuries,307829,01 Store A,Dept 2,2015/03/01,This Year
01 Luxuries,312368,01 Store A,Dept 2,2015/03/02,This Year
01 Luxuries,426437,01 Store A,Dept 2,2015/03/03,This Year
01 Luxuries,259076,01 Store A,Dept 2,2015/03/04,This Year
01 Luxuries,193924,01 Store A,Dept 2,2015/03/05,This Year
01 Luxuries,3422909,01 Store A,Dept 2,2015/03/06,This Year
01 Luxuries,1750012,01 Store A,Dept 2,2015/03/07,This Year
01 Luxuries,2525844,01 Store A,Dept 2,2015/03/08,This Year
01 Luxuries,1284573,01 Store A,Dept 2,2015/03/09,This Year
01 Luxuries,1163600,01 Store A,Dept 2,2015/03/10,This Year
01 Luxuries,1038794,01 Store A,Dept 2,2015/03/11,This Year
01 Luxuries,1039149,01 Store A,Dept 2,2015/03/12,This Year
01 Luxuries,1365446,01 Store A,Dept 2,2015/03/13,This Year
01 Luxuries,1274361,01 Store A,Dept 2,2015/03/14,This Year
01 Luxuries,1045188,01 Store A,Dept 2,2015/03/15,This Year
01 Luxuries,271570,01 Store A,Dept 2,2015/03/16,This Year
01 Luxuries,241952,01 Store A,Dept 2,2015/03/17,This Year
01 Luxuries,373903,01 Store A,Dept 2,2015/03/18,This Year
01 Luxuries,375865,01 Store A,Dept 2,2015/03/19,This Year
01 Luxuries,3171030,01 Store A,Dept 2,2015/03/20,This Year
01 Luxuries,1733270,01 Store A,Dept 2,2015/03/21,This Year
01 Luxuries,1991438,01 Store A,Dept 2,2015/03/22,This Year
01 Luxuries,413704,01 Store A,Dept 2,2015/03/23,This Year
01 Luxuries,462587,01 Store A,Dept 2,2015/03/24,This Year
01 Luxuries,331152,01 Store A,Dept 2,2015/03/25,This Year
01 Luxuries,304382,01 Store A,Dept 2,2015/03/26,This Year
01 Luxuries,553014,01 Store A,Dept 2,2015/03/27,This Year
01 Luxuries,554323,01 Store A,Dept 2,2015/03/28,This Year
01 Luxuries,465249,01 Store A,Dept 2,2015/03/29,This Year
01 Luxuries,386824,01 Store A,Dept 2,2015/03/30,This Year
01 Luxuries,272277,01 Store A,Dept 2,2015/03/31,This Year
01 Luxuries,485941,01 Store A,Dept 2,2015/04/01,This Year
01 Luxuries,527399,01 Store A,Dept 2,2015/04/02,This Year
01 Luxuries,563845,01 Store A,Dept 2,2015/04/03,This Year
01 Luxuries,338846,01 Store A,Dept 2,2015/04/04,This Year
01 Luxuries,444153,01 Store A,Dept 2,2015/04/05,This Year
01 Luxuries,244922,01 Store A,Dept 2,2015/04/06,This Year
01 Luxuries,545989,01 Store A,Dept 2,2015/04/07,This Year
01 Luxuries,205505,01 Store A,Dept 2,2015/04/08,This Year
01 Luxuries,1197749,01 Store A,Dept 2,2015/04/09,This Year
01 Luxuries,946438,01 Store A,Dept 2,2015/04/10,This Year
01 Luxuries,1122192,01 Store A,Dept 2,2015/04/11,This Year
01 Luxuries,884263,01 Store A,Dept 2,2015/04/12,This Year
01 Luxuries,466811,01 Store A,Dept 2,2015/04/13,This Year
01 Luxuries,978270,01 Store A,Dept 2,2015/04/14,This Year
01 Luxuries,696477,01 Store A,Dept 2,2015/04/15,This Year
01 Luxuries,463945,01 Store A,Dept 2,2015/04/16,This Year
01 Luxuries,508698,01 Store A,Dept 2,2015/04/17,This Year
01 Luxuries,752327,01 Store A,Dept 2,2015/04/18,This Year
01 Luxuries,688025,01 Store A,Dept 2,2015/04/19,This Year
01 Luxuries,991843,01 Store A,Dept 2,2015/04/20,This Year
01 Luxuries,376942,01 Store A,Dept 2,2015/04/21,This Year
01 Luxuries,635973,01 Store A,Dept 2,2015/04/22,This Year
01 Luxuries,828920,01 Store A,Dept 2,2015/04/23,This Year
01 Luxuries,1056333,01 Store A,Dept 2,2015/04/24,This Year
01 Luxuries,1203244,01 Store A,Dept 2,2015/04/25,This Year
01 Luxuries,1342803,01 Store A,Dept 2,2015/04/26,This Year
01 Luxuries,821991,01 Store A,Dept 2,2015/04/27,This Year
01 Luxuries,786701,01 Store A,Dept 2,2015/04/28,This Year
01 Luxuries,934498,01 Store A,Dept 2,2015/04/29,This Year
01 Luxuries,1174586,01 Store A,Dept 2,2015/04/30,This Year
01 Luxuries,1655210,01 Store A,Dept 2,2015/05/01,This Year
01 Luxuries,1509695,01 Store A,Dept 2,2015/05/02,This Year
01 Luxuries,1201006,01 Store A,Dept 2,2015/05/03,This Year
01 Luxuries,554950,01 Store A,Dept 2,2015/05/04,This Year
01 Luxuries,620414,01 Store A,Dept 2,2015/05/05,This Year
01 Luxuries,1052060,01 Store A,Dept 2,2015/05/06,This Year
01 Luxuries,738869,01 Store A,Dept 2,2015/05/07,This Year
01 Luxuries,1473932,01 Store A,Dept 2,2015/05/08,This Year
01 Luxuries,1955523,01 Store A,Dept 2,2015/05/09,This Year
01 Luxuries,1510608,01 Store A,Dept 2,2015/05/10,This Year
01 Luxuries,190421,01 Store A,Dept 2,2015/05/11,This Year
01 Luxuries,355632,01 Store A,Dept 2,2015/05/12,This Year
01 Luxuries,422996,01 Store A,Dept 2,2015/05/13,This Year
01 Luxuries,515972,01 Store A,Dept 2,2015/05/14,This Year
01 Luxuries,484137,01 Store A,Dept 2,2015/05/15,This Year
01 Luxuries,732840,01 Store A,Dept 2,2015/05/16,This Year
01 Luxuries,767345,01 Store A,Dept 2,2015/05/17,This Year
01 Luxuries,241221,01 Store A,Dept 2,2015/05/18,This Year
01 Luxuries,451390,01 Store A,Dept 2,2015/05/19,This Year
01 Luxuries,386294,01 Store A,Dept 2,2015/05/20,This Year
01 Luxuries,430407,01 Store A,Dept 2,2015/05/21,This Year
01 Luxuries,1055044,01 Store A,Dept 2,2015/05/22,This Year
01 Luxuries,725868,01 Store A,Dept 2,2015/05/23,This Year
01 Luxuries,709350,01 Store A,Dept 2,2015/05/24,This Year
01 Luxuries,340100,01 Store A,Dept 2,2015/05/25,This Year
01 Luxuries,537656,01 Store A,Dept 2,2015/05/26,This Year
01 Luxuries,731565,01 Store A,Dept 2,2015/05/27,This Year
01 Luxuries,1526761,01 Store A,Dept 2,2015/05/28,This Year
01 Luxuries,2196928,01 Store A,Dept 2,2015/05/29,This Year
01 Luxuries,1876848,01 Store A,Dept 2,2015/05/30,This Year
01 Luxuries,814419,01 Store A,Dept 2,2015/05/31,This Year
01 Luxuries,319924,02 Store B,Dept 1,2014/03/01,Last Year
01 Luxuries,161542,02 Store B,Dept 1,2014/03/02,Last Year
01 Luxuries,166934,02 Store B,Dept 1,2014/03/03,Last Year
01 Luxuries,166674,02 Store B,Dept 1,2014/03/04,Last Year
01 Luxuries,215154,02 Store B,Dept 1,2014/03/05,Last Year
01 Luxuries,428198,02 Store B,Dept 1,2014/03/06,Last Year
01 Luxuries,425730,02 Store B,Dept 1,2014/03/07,Last Year
01 Luxuries,180909,02 Store B,Dept 1,2014/03/08,Last Year
01 Luxuries,122085,02 Store B,Dept 1,2014/03/09,Last Year
01 Luxuries,68116,02 Store B,Dept 1,2014/03/10,Last Year
01 Luxuries,59693,02 Store B,Dept 1,2014/03/11,Last Year
01 Luxuries,84469,02 Store B,Dept 1,2014/03/12,Last Year
01 Luxuries,64893,02 Store B,Dept 1,2014/03/13,Last Year
01 Luxuries,57011,02 Store B,Dept 1,2014/03/14,Last Year
01 Luxuries,135454,02 Store B,Dept 1,2014/03/15,Last Year
01 Luxuries,140703,02 Store B,Dept 1,2014/03/16,Last Year
01 Luxuries,117973,02 Store B,Dept 1,2014/03/17,Last Year
01 Luxuries,69080,02 Store B,Dept 1,2014/03/18,Last Year
01 Luxuries,134554,02 Store B,Dept 1,2014/03/19,Last Year
01 Luxuries,155203,02 Store B,Dept 1,2014/03/20,Last Year
01 Luxuries,128651,02 Store B,Dept 1,2014/03/21,Last Year
01 Luxuries,80151,02 Store B,Dept 1,2014/03/22,Last Year
01 Luxuries,114723,02 Store B,Dept 1,2014/03/23,Last Year
01 Luxuries,118749,02 Store B,Dept 1,2014/03/24,Last Year
01 Luxuries,60983,02 Store B,Dept 1,2014/03/25,Last Year
